Demand 02/14/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,22384,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,20843,20843,20843,20843,20843,20843,20843,20843,20843,20843,20843,20843,20347,20347,20347,20347,20347,20347,20347,20347,20347,20347,20347,20347,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20215,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,22320,22320,22320,22320,22320,22320,22320,22320,22320,22320,22320,22320,24517,24517,24517,24517,24517,24517,24517,24517,24517,24517,24517,24517,25392,25392,25392,25392,25392,25392,25392,25392,25392,25392,25392,25392,24161,24161,24161,24161,24161,24161,24161,24161,24161,24161,24161,24161,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,21523,21523,21523,21523,21523,21523,21523,21523,21523,21523,21523,21523,20572,20572,20572,20572,20572,20572,20572,20572,20572,20572,20572,20572,20182,20182,20182,20182,20182,20182,20182,20182,20182,20182,20182,20182,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20760,20760,20760,20760,20760,20760,20760,20760,20760,20760,20760,20760,21841,21841,21841,21841,21841,21841,21841,21841,21841,21841,21841,21841,23288,23288,23288,23288,23288,23288,23288,23288,23288,23288,23288,23288,25728,25728,25728,25728,25728,25728,25728,25728,25728,25728,25728,25728,26995,26995,26995,26995,26995,26995,26995,26995,26995,26995,26995,26995,26649,26649,26649,26649,26649,26649,26649,26649,26649,26649,26649,26649,26061,26061,26061,26061,26061,26061,26061,26061,26061,26061,26061,26061,25177,25177,25177,25177,25177,25177,25177,25177,25177,25177,25177,25177,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632,23632,22248,22248,22248,22248,22248,22248,22248,22248,22248,22248,22248,22248
Hour-ahead forecast,21795,21795,21795,21795,21685,21685,21685,21475,21475,21475,21191,21191,21191,21140,21140,21140,20979,20979,20979,20738,20738,20738,20484,20484,20484,20323,20323,20323,20227,20227,20227,20100,20100,20100,20043,20043,20043,20051,20051,20051,20042,20042,20042,20042,20042,20042,19860,19860,19860,20112,20112,20112,20278,20278,20278,20447,20447,20447,20603,20603,20603,21202,21202,21202,21582,21582,21582,21942,21942,21942,22349,22349,22349,23212,23212,23212,23769,23769,23769,24175,24175,24175,24392,24392,24392,24699,24699,24699,24733,24733,24733,24789,24789,24789,24783,24783,24783,24461,24461,24461,24132,24132,24132,23538,23538,23538,23102,23102,23102,22631,22631,22631,22302,22302,22302,21853,21853,21853,21402,21402,21402,21078,21078,21078,20794,20794,20794,20049,20049,20049,19861,19861,19861,19515,19515,19515,19309,19309,19309,19432,19432,19432,19522,19522,19522,19155,19155,19155,19143,19143,19143,19500,19500,19500,19275,19275,19275,19392,19392,19392,19553,19553,19553,19827,19827,19827,19634,19634,19634,20150,20150,20150,20367,20367,20367,20650,20650,20650,20800,20800,20800,21066,21066,21066,21436,21436,21436,21861,21861,21861,22482,22482,22482,22980,22980,22980,23540,23540,23540,24194,24194,24194,24754,24754,24754,25213,25213,25213,25743,25743,25743,26597,26597,26597,27299,27299,27299,27426,27426,27426,27604,27604,27604,27303,27303,27303,27078,27078,27078,26961,26961,26961,26858,26858,26858,26563,26563,26563,26341,26341,26341,26177,26177,26177,26026,26026,26026,25659,25659,25659,25411,25411,25411,25381,25381,25381,25220,25220,25220,24653,24653,24653,24294,24294,24294,23928,23928,23928,23620,23620,23620,23309,23309,23309,22914,22914,22914,22543,22543,22543,22268,22268,22268,21982,21982,21982,21766,21766,21766
Demand,21674,21839,21860,21732,21708,21640,21701,21630,21560,21453,21527,21654,21449,21081,20975,20888,20784,20746,20690,20601,20539,20506,20460,20386,20339,20315,20307,20243,20198,20189,20153,20127,20103,20087,20072,20035,20020,20023,20019,19964,19813,19781,19776,19771,19780,19788,19795,19819,19853,19969,20030,20109,20166,20182,20255,20335,20451,20481,20535,20627,20716,20946,21211,21320,21478,21561,21664,21824,21994,22104,22261,22292,22235,22848,23289,23393,23696,23691,23811,23807,24283,24401,24529,24587,24641,24814,24960,24999,25141,25191,25180,25098,25023,24834,24623,24454,24310,24178,24173,23976,23954,23839,23631,23509,23408,23225,23128,23079,22920,22705,22651,22447,22289,22077,22052,21892,21721,21550,21369,21255,21163,20935,20826,20691,20537,20458,20303,20185,20162,20105,20001,19977,19894,19859,19800,19760,19682,19730,19691,19548,19429,19519,19609,19632,19654,19668,19594,19519,19422,19344,19364,19347,19419,19479,19455,19482,19480,19459,19513,19512,19494,19404,19609,19687,19850,19968,20039,20076,20182,20155,20209,20282,20357,20431,20467,20499,20523,20658,20687,20846,21003,20977,21116,21308,21542,21801,22072,22175,22289,22405,22479,22727,22875,22912,23141,23383,23581,23799,24006,24194,24325,24493,24688,24887,25083,25281,25528,25690,25894,26132,26281,26485,26644,26878,27092,27200,27271,27229,27233,27226,27227,27255,27262,27241,27194,27147,27072,27030,26977,26907,26778,26680,26609,26600,26586,26536,26503,26481,26392,26316,26210,26108,26067,25972,25966,25878,25807,25758,25683,25633,25531,25290,25161,25131,25069,25023,24963,24911,24857,24765,24653,24552,24498,24414,24281,24141,24005,23938,23818,23692,23552,23388,23237,23099,22902,22817,22674,22657,22587,22490,22372,22291,22204,22092,22070,21977,21897,21811,
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
