Demand 05/15/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,23252,22399,22399,22399,22399,22399,22399,22399,22399,22399,22399,22399,22399,21452,21452,21452,21452,21452,21452,21452,21452,21452,21452,21452,21452,20795,20795,20795,20795,20795,20795,20795,20795,20795,20795,20795,20795,20569,20569,20569,20569,20569,20569,20569,20569,20569,20569,20569,20569,20850,20850,20850,20850,20850,20850,20850,20850,20850,20850,20850,20850,21913,21913,21913,21913,21913,21913,21913,21913,21913,21913,21913,21913,23045,23045,23045,23045,23045,23045,23045,23045,23045,23045,23045,23045,23851,23851,23851,23851,23851,23851,23851,23851,23851,23851,23851,23851,23256,23256,23256,23256,23256,23256,23256,23256,23256,23256,23256,23256,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,20783,20783,20783,20783,20783,20783,20783,20783,20783,20783,20783,20783,19694,19694,19694,19694,19694,19694,19694,19694,19694,19694,19694,19694,19269,19269,19269,19269,19269,19269,19269,19269,19269,19269,19269,19269,19480,19480,19480,19480,19480,19480,19480,19480,19480,19480,19480,19480,20051,20051,20051,20051,20051,20051,20051,20051,20051,20051,20051,20051,21311,21311,21311,21311,21311,21311,21311,21311,21311,21311,21311,21311,22915,22915,22915,22915,22915,22915,22915,22915,22915,22915,22915,22915,24993,24993,24993,24993,24993,24993,24993,24993,24993,24993,24993,24993,26745,26745,26745,26745,26745,26745,26745,26745,26745,26745,26745,26745,28012,28012,28012,28012,28012,28012,28012,28012,28012,28012,28012,28012,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,27497,27497,27497,27497,27497,27497,27497,27497,27497,27497,27497,27497,25660,25660,25660,25660,25660,25660,25660,25660,25660,25660,25660,25660,23831,23831,23831,23831,23831,23831,23831,23831,23831,23831,23831,23831
Hour-ahead forecast,22832,22832,22832,22832,22669,22669,22669,22410,22410,22410,22195,22195,22195,22056,22056,22056,21808,21808,21808,21580,21580,21580,21345,21345,21345,21186,21186,21186,21063,21063,21063,20869,20869,20869,20767,20767,20767,20716,20716,20716,20639,20639,20639,20622,20622,20622,20614,20614,20614,20780,20780,20780,20861,20861,20861,20989,20989,20989,21155,21155,21155,21597,21597,21597,21930,21930,21930,22175,22175,22175,22323,22323,22323,22814,22814,22814,23031,23031,23031,23271,23271,23271,23441,23441,23441,23880,23880,23880,23959,23959,23959,23851,23851,23851,23741,23741,23741,23765,23765,23765,23751,23751,23751,23652,23652,23652,23375,23375,23375,23302,23302,23302,23196,23196,23196,22948,22948,22948,22855,22855,22855,22536,22536,22536,22081,22081,22081,22218,22218,22218,21891,21891,21891,21840,21840,21840,21715,21715,21715,21586,21586,21586,21312,21312,21312,21130,21130,21130,21161,21161,21161,21265,21265,21265,21216,21216,21216,21246,21246,21246,21348,21348,21348,21463,21463,21463,21416,21416,21416,21592,21592,21592,21682,21682,21682,21808,21808,21808,21988,21988,21988,21715,21715,21715,21906,21906,21906,22333,22333,22333,22638,22638,22638,22892,22892,22892,23386,23386,23386,23961,23961,23961,24502,24502,24502,24894,24894,24894,25548,25548,25548,26130,26130,26130,26653,26653,26653,27089,27089,27089,27247,27247,27247,27821,27821,27821,28074,28074,28074,27946,27946,27946,28135,28135,28135,28248,28248,28248,28404,28404,28404,28537,28537,28537,28673,28673,28673,28534,28534,28534,28248,28248,28248,28033,28033,28033,27835,27835,27835,27449,27449,27449,26993,26993,26993,26501,26501,26501,26084,26084,26084,25607,25607,25607,25084,25084,25084,24593,24593,24593,24237,24237,24237,23860,23860,23860,23473,23473,23473
Demand,22812,22992,23066,22966,22952,22869,22766,22673,22563,22475,22379,22295,22175,22114,22046,21959,21864,21785,21715,21644,21656,21463,21387,21319,21215,21224,21225,21170,21086,21053,21020,20933,20866,20822,20750,20758,20696,20688,20775,20773,20698,20693,20686,20668,20633,20631,20641,20630,20617,20702,20837,20918,20904,20959,21022,21092,21137,21172,21193,21174,21223,21458,21665,21775,21832,21965,21986,22099,22191,22249,22336,22356,22415,22758,22945,23058,23117,23263,23354,23472,23563,23636,23732,23783,23806,23933,24091,24178,24196,24196,24166,24199,24238,24172,24056,24119,24227,24119,24172,24230,24165,24071,24094,24029,24031,23978,23823,23808,23846,23860,23892,23662,23596,23493,23315,23222,23144,22998,22913,22834,22695,22865,22959,22965,22863,22852,22705,22604,22525,22424,22337,22236,22126,21970,21952,21864,21766,21615,21631,21621,21595,21559,21682,21567,21433,21436,21445,21393,21359,21276,21301,21292,21271,21297,21327,21261,21310,21275,21278,21240,21251,21293,21346,21360,21440,21468,21565,21584,21635,21670,21470,21390,21315,21192,21250,21228,21332,21389,21552,21598,21615,21728,21788,21860,21915,22122,22318,22430,22565,22613,22842,22899,23134,23214,23154,23393,23603,23768,23817,23929,24252,24418,24574,24723,25014,25044,25306,25519,25792,25978,26034,26088,26215,26440,26712,26807,26984,26965,26926,26875,26966,27122,27250,27364,27470,27553,27668,27786,27822,27807,27857,27928,28050,28103,28172,28279,28308,28372,28442,28490,28534,28513,28470,28542,28517,28520,28510,28430,28390,28308,28234,28158,28057,28105,28082,27955,27927,27814,27721,27559,27441,27306,27174,27005,26874,26721,26585,26391,26220,26114,25948,25762,25562,25403,25231,25057,24911,24744,24579,24415,24319,24135,24008,23861,23662,23543,23417,23290,23137
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
