TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Low_Fossil,7,HUMBOLDT,71,2,50.00,50.00,47.44,50.00
Arrow,1,Low_Fossil,7,HELMS,72,2,0.50,0.50,0.50,0.50
Arrow,1,Low_Fossil,7,HUNTERS_POINT_1-2,73,2,50.00,50.00,49.17,50.00
Arrow,1,Low_Fossil,7,HUNTERS_POINT_4,74,2,76.00,76.00,76.00,76.00
Arrow,1,Low_Fossil,7,DIABLO_CANYON_1,75,2,11.50,11.50,11.50,11.50
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,2,46.00,45.00,49.17,47.43
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,2,44.00,42.39,49.17,41.94
Becker,2,Big_Gas,2,LONG_BEACH,23,2,55.00,53.00,53.00,53.93
Becker,2,Big_Gas,2,NORTH_ISLAND,24,2,66.40,66.40,66.40,66.40
Becker,2,Big_Gas,2,ENCINA,25,2,44.00,42.39,49.17,41.94
Becker,2,Big_Gas,2,KEARNY,26,2,1000.00,1000.00,1000.00,1000.00
Becker,2,Big_Gas,2,SOUTH_BAY,27,2,46.00,44.00,49.17,47.43
Coase,3,East_Bay,5,PITTSBURGH_1-4,51,2,40.94,40.94,40.94,40.94
Coase,3,East_Bay,5,PITTSBURGH_5-6,52,2,36.61,36.61,36.61,36.61
Coase,3,East_Bay,5,PITTSBURG_7,53,2,59.72,59.72,59.72,59.72
Coase,3,East_Bay,5,CONTRA_COSTA_4-5,54,2,58.28,58.28,58.28,58.28
Coase,3,East_Bay,5,CONTRA_COSTA_6-7,55,2,39.50,39.50,39.50,39.50
Coase,3,East_Bay,5,POTRERO_HILL,56,2,69.83,69.83,69.83,69.83
Debreu,4,Big_Coal,1,Four Corners,11,2,36.50,36.50,36.50,36.50
Debreu,4,Big_Coal,1,ALAMITOS_7,12,2,73.72,73.72,73.72,73.72
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,2,40.50,44.55,40.50,40.50
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_5,14,2,66.50,66.50,66.50,66.50
Debreu,4,Big_Coal,1,REDONDO_5-6,15,2,41.94,41.94,41.94,41.94
Debreu,4,Big_Coal,1,REDONDO_7-8,16,2,41.94,41.94,41.94,46.13
