Renewables 02/14/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-32,-33,-35,-35,-34,-34,-34,-36,-36,-37,-36,-36,-35,-34,-33,-32,-30,-28,-29,-29,-29,-28,-27,-28,-31,-33,-34,-35,-36,-38,-40,-40,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-42,-42,-42,-42,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-42,-42,-42,-42,-42,-42,-43,-43,-44,-44,-43,-44,-43,-43,-43,-39,-35,-23,22,110,244,458,762,1126,1566,2098,2667,3297,3981,4602,5328,5965,6651,7397,8000,8622,9306,10031,10667,11152,11562,11759,12014,12296,12313,12571,12998,13237,13455,13671,13625,13561,13487,13635,13517,13446,13194,13092,13268,13259,13347,13490,13662,13803,13682,13428,13054,12897,12792,12919,12978,12888,12990,12893,12920,12998,13015,12971,12670,12459,12441,12580,12652,12541,12542,12339,12099,12217,12271,12329,12232,12048,11973,11797,12090,12342,12340,12502,12706,12532,12480,12426,12483,12574,12601,12483,12506,12333,12401,12610,12739,12742,12650,12477,12464,12397,12429,12600,12297,12039,11678,11025,10813,10854,11284,11197,11073,10878,10323,9908,9305,8540,7856,7247,6685,5834,5179,4658,4126,3502,2988,2535,2011,1551,1203,958,740,538,417,329,289,267,254,213,192,189,184,184,183,180,183,173,171,174,169,171,182,176,169,170,160,152,151,154,155,157,156,156,155,152,153,154,154,152,151,149,150,151,155,155,156,157,158,157,156,154,154,155,156,159,159,159,162,165,166,167,171,171,174,178,180,179,182,191,199,213,223,228,230,226,220,211,204,196,191,187,184
Wind,2943,2893,2899,2922,2914,2911,2901,2898,2903,2935,2962,2964,2965,2995,3020,3012,2979,2930,2887,2854,2802,2747,2697,2681,2657,2630,2601,2600,2605,2624,2599,2558,2510,2463,2435,2412,2420,2426,2422,2442,2424,2396,2397,2419,2440,2470,2487,2492,2495,2561,2614,2597,2549,2511,2514,2477,2455,2447,2463,2481,2483,2499,2481,2448,2409,2390,2387,2378,2316,2255,2228,2221,2236,2263,2256,2236,2235,2216,2197,2158,2147,2136,2129,2108,2089,2056,2059,2056,2041,2042,2033,2028,2032,2024,2008,1985,1942,1926,1925,1913,1892,1869,1860,1866,1854,1824,1834,1850,1885,1934,1968,2003,1984,1954,1943,1933,1917,1881,1850,1819,1794,1754,1740,1749,1770,1783,1784,1801,1852,1917,1958,1984,2009,2016,2017,2038,2060,2077,2097,2101,1992,1968,2020,1966,1942,1985,2053,2138,2205,2275,2286,2319,2337,2356,2385,2385,2421,2467,2507,2490,2467,2427,2404,2375,2333,2332,2300,2240,2274,2286,2422,2479,2486,2526,2560,2554,2702,2986,3122,3164,3150,3124,2970,2805,2747,2891,2924,2934,3027,3036,3084,3187,3217,3208,3127,3071,3014,3010,3003,2978,2935,2894,2826,2738,2679,2649,2660,2700,2687,2640,2589,2622,2674,2693,2723,2696,2642,2550,2504,2488,2479,2497,2473,2437,2327,2265,2294,2330,2323,2299,2261,2256,2259,2253,2270,2305,2302,2299,2244,2204,2166,2151,2145,2151,2140,2113,2077,2078,2115,2142,2140,2150,2167,2179,2236,2328,2431,2509,2580,2593,2580,2553,2546,2522,2489,2472,2482,2561,2656,2721,2766,2799,2854,2943,3048,3141,3200,3211,3198,3227,3247,3295,3320,3348,3378,3365,3322,3282
Geothermal,730,729,729,729,729,729,729,729,728,729,728,729,729,728,729,729,730,730,730,730,731,731,730,730,731,730,731,730,730,730,731,730,731,730,731,731,731,731,731,731,730,730,730,731,732,731,731,731,731,731,731,731,731,731,730,731,732,732,736,737,735,737,736,735,734,731,732,731,731,730,730,730,730,730,730,730,730,730,729,730,730,730,730,730,730,730,730,730,730,730,730,730,729,730,730,730,731,731,730,730,731,731,729,730,730,730,729,730,729,728,727,729,728,729,729,728,729,729,729,728,728,728,727,727,727,726,726,727,726,726,726,726,722,726,726,726,726,726,728,726,726,725,725,726,725,726,726,726,725,725,725,724,725,725,725,724,724,724,720,716,718,720,723,723,723,723,722,722,722,723,723,723,723,723,722,723,723,722,719,723,723,723,724,724,723,724,725,724,724,724,724,724,727,727,727,727,727,728,727,728,728,728,728,727,728,727,727,727,728,727,727,726,726,724,723,723,723,722,722,723,722,720,718,719,718,718,718,718,719,719,718,719,719,719,719,718,718,718,718,718,717,718,717,716,716,716,715,716,713,716,716,716,716,717,718,717,717,718,717,718,718,718,718,718,718,718,719,718,718,718,717,717,717,715,714,713,714,714,713,713,713,713,713,712,713,713,714,713
Biomass,244,246,245,244,242,242,242,242,242,243,245,244,245,244,242,244,242,243,245,243,243,244,244,244,245,242,243,243,243,243,242,244,243,243,243,244,243,245,243,243,243,242,241,243,242,243,243,241,243,243,245,244,246,245,246,246,245,244,245,243,243,243,245,246,247,245,243,244,244,243,242,244,244,247,247,248,246,245,245,244,243,246,249,248,245,247,246,245,246,244,245,246,244,246,246,246,249,244,245,243,243,244,244,244,246,246,244,245,244,245,243,241,239,238,237,242,244,247,249,249,250,248,245,243,244,245,246,249,249,248,251,250,250,250,248,250,247,250,248,246,245,241,242,241,242,244,248,247,246,246,249,249,250,249,253,248,246,248,247,245,247,246,248,249,250,249,250,247,247,249,251,252,251,254,254,253,253,252,250,251,250,252,252,250,250,253,251,254,256,254,251,251,250,251,250,250,250,250,248,250,249,251,251,250,250,251,250,251,250,251,250,247,249,249,248,251,251,254,254,254,254,254,253,252,254,254,254,255,256,254,253,253,255,255,256,258,258,257,255,255,257,255,255,256,257,259,255,256,256,257,256,257,259,258,256,257,259,258,259,260,262,263,263,263,259,258,255,254,253,251,252,253,252,252,252,251,250,252,249,249,247,247,247,246,245,244,245,245
Biogas,185,186,186,186,186,187,187,186,187,187,187,187,187,186,186,187,187,187,187,186,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,186,185,185,185,185,185,185,185,185,185,185,184,185,185,185,185,185,185,185,185,185,185,185,184,184,185,184,184,184,183,184,184,184,184,185,183,183,184,183,183,185,185,184,185,184,184,185,183,182,183,181,182,181,181,182,181,182,181,183,181,181,181,181,180,179,179,179,179,179,176,177,180,179,179,179,180,180,179,179,180,179,179,180,180,180,179,178,178,178,178,179,178,179,178,178,178,178,177,177,177,177,177,177,177,177,178,179,178,177,178,178,178,178,178,179,179,179,180,180,180,180,180,180,180,180,180,181,181,183,183,182,182,183,183,182,183,184,183,182,183,183,184,183,183,182,182,182,182,182,182,182,182,182,181,182,181,181,181,181,181,181,182,181,182,179,181,182,182,182,183,182,182,182,182,182,183,182,181,182,182,181,181,182,183,182,183,182,182,181,179,177,178,178,178,177,178,183,182,183,181,183,181,182,181,181,182,183,182,183,182,183,182,182,183,183,183,183,184,184,182,182,183,182,182,183,182,182,183,182,183,182,182,181,181,181,181,181,181,181,181,181,181,181,182,182,181,181,181,181,181
Small hydro,206,192,191,191,191,192,192,192,193,192,192,192,192,192,193,193,193,193,193,193,193,193,194,194,193,193,193,193,193,193,193,193,193,193,193,192,192,191,192,192,191,191,191,191,191,192,192,192,192,192,192,192,192,192,193,201,211,211,211,211,210,210,216,222,221,220,221,222,222,222,223,222,222,223,223,223,223,224,225,225,224,224,223,224,221,224,225,225,225,224,224,223,223,224,224,224,224,224,224,224,224,225,225,225,224,225,224,225,225,224,213,213,213,212,211,211,211,212,212,212,211,211,211,212,212,212,212,212,212,212,212,212,212,212,212,213,212,212,211,212,213,212,212,212,211,211,212,212,213,211,212,212,212,212,212,212,212,212,212,212,212,211,210,210,210,212,213,212,212,211,215,216,216,216,217,217,217,217,217,216,217,217,218,218,218,218,218,218,217,218,218,217,217,227,250,249,249,249,250,249,248,248,249,249,248,249,256,261,260,261,261,261,261,261,262,261,262,262,261,261,261,262,262,263,264,263,263,262,262,263,263,264,263,264,264,264,264,264,264,264,264,263,264,264,264,264,263,264,264,264,264,264,263,264,265,265,264,264,264,264,264,263,264,263,262,263,263,264,263,262,262,262,262,262,262,262,262,262,251,243,234,233,233,233,233,233,233,234
