Renewables 05/15/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,165,165,164,163,163,164,164,162,163,164,165,164,164,167,167,167,167,167,167,168,167,167,167,167,168,169,169,168,170,170,169,170,170,169,169,168,168,168,168,164,164,165,165,165,165,165,165,165,164,164,163,163,163,162,164,164,163,163,162,160,160,159,159,159,158,158,158,160,166,180,204,263,367,525,756,1049,1390,1777,2188,2636,3121,3671,4165,4659,5235,5931,6550,7268,7836,8234,8613,9278,10112,10500,10702,10958,11597,11865,12301,12750,13099,13581,14242,14567,14645,15002,15320,15472,15695,15862,16041,16091,16236,16311,16052,15928,16140,16230,16389,16522,16622,16870,17130,17213,17435,17766,17729,17805,17857,17889,17994,18197,18267,18180,18156,17972,18049,17953,17935,17878,18013,17855,17899,18081,18211,18097,17952,17900,17808,17774,17518,17332,16912,16841,17175,17180,17432,17581,17703,17528,17442,17454,17392,17341,17272,17316,17280,17236,17461,17290,17033,16989,16984,16864,16986,17085,16924,16670,16420,16378,15998,15857,15561,15266,15168,14977,14645,14572,14618,14547,14375,14120,13985,13901,13935,13845,13481,13457,12955,12903,12902,13002,12174,11780,11678,11761,12135,12495,12645,12751,12543,12388,11980,11677,11383,10745,10194,9499,8816,8235,7820,7417,6680,6047,5485,4823,4161,3575,3082,2626,2183,1805,1537,1230,958,740,615,537,478,423,398,385,374,368,366,369,368,367,369,373,374,375,375,375,374,371,374,377,377,378,379,380,384,377,375,374,376,378,378,379,379,379,380,378,379,379,379,380,380,378,378,379,380,378,380,379,379,379
Wind,4756,4775,4785,4737,4693,4675,4688,4711,4722,4734,4751,4756,4783,4835,4866,4863,4880,4913,4950,4960,4962,4932,4910,4908,4940,4964,4975,4956,4918,4870,4843,4846,4842,4824,4803,4784,4784,4785,4788,4785,4771,4747,4731,4726,4697,4721,4731,4734,4723,4709,4709,4722,4703,4694,4661,4616,4577,4520,4472,4377,4308,4282,4264,4232,4176,4130,4061,3970,3933,3932,3953,3952,3992,4032,3982,3955,3896,3866,3883,3902,3891,3868,3831,3788,3738,3656,3586,3517,3457,3407,3346,3273,3202,3157,3119,3095,3081,3090,3077,3055,3046,3030,3011,2987,2966,2947,2932,2904,2834,2730,2598,2478,2377,2293,2236,2214,2193,2150,2108,2088,2044,1978,1923,1848,1790,1750,1725,1698,1647,1606,1569,1547,1525,1510,1511,1508,1494,1492,1485,1472,1465,1468,1454,1470,1481,1440,1421,1381,1369,1366,1393,1443,1493,1500,1511,1538,1544,1560,1574,1605,1651,1717,1786,1820,1871,1943,2058,2116,2162,2256,2449,2555,2663,2726,2815,2912,3058,3179,3264,3276,3299,3458,3613,3702,3844,4054,4265,4366,4448,4552,4595,4563,4569,4632,4620,4547,4516,4476,4417,4341,4405,4359,4318,4239,4219,4311,4452,4571,4653,4667,4653,4660,4698,4771,4821,4909,4978,4993,4965,4977,5067,5061,5052,5019,5000,5048,5098,5137,5138,5129,5144,5160,5157,5201,5241,5352,5430,5472,5573,5636,5701,5765,5818,5764,5727,5712,5725,5761,5833,5896,5951,6021,6108,6156,6224,6216,6191,6175,6153,6160,6133,6130,6209,6279,6306,6288,6227,6200,6173,6077,5995,5928,5873,5800,5760,5730,5662,5614,5565,5548,5581,5647,5724,5828,5893,5935,5986,6072
Geothermal,684,683,683,683,683,684,684,684,685,684,684,685,685,685,685,685,685,685,684,683,683,684,684,684,685,685,685,684,684,685,685,685,685,685,685,685,685,686,684,685,684,685,684,684,683,683,684,683,682,682,681,677,674,686,716,706,686,687,641,589,584,578,581,583,582,584,583,582,583,583,578,578,576,576,578,579,580,613,580,583,586,587,588,589,591,590,587,580,578,587,586,587,587,587,587,587,587,582,586,586,585,586,585,585,585,585,584,584,584,583,584,584,584,584,585,584,584,584,583,584,584,583,583,586,583,583,586,589,590,591,595,599,599,595,598,599,599,599,601,603,604,605,604,606,610,609,607,605,605,605,606,604,605,604,614,619,619,620,620,619,619,618,618,618,618,618,618,616,616,615,615,615,614,615,614,614,613,612,612,612,611,617,619,620,621,625,629,633,637,641,642,641,642,642,642,641,641,641,641,641,641,642,645,646,646,646,646,645,646,646,645,645,646,645,645,645,646,646,645,647,647,648,648,648,648,649,649,650,650,650,650,651,651,651,651,651,652,652,651,652,652,653,653,654,655,655,655,655,655,656,656,656,659,659,659,660,659,660,659,660,661,661,661,661,662,662,661,662,662,655,658,658,663,663,664,664,665,665,666,665,665,665,665,664,664,664,664,664
Biomass,277,278,276,273,273,274,274,275,274,275,271,273,273,273,273,275,278,275,272,272,273,275,275,276,277,277,276,278,278,278,278,277,276,276,277,277,277,278,277,276,272,275,275,276,274,274,275,275,277,277,277,278,279,279,279,278,276,275,275,275,277,278,280,281,281,282,282,283,284,283,286,288,292,284,289,291,291,289,287,291,292,291,289,292,292,293,292,292,294,292,290,288,289,289,289,290,289,291,291,292,290,289,291,291,292,292,291,292,292,291,291,293,297,294,295,295,298,297,298,296,297,297,295,294,294,294,293,296,296,295,296,297,297,299,297,296,295,297,296,294,298,297,297,296,297,296,295,298,297,296,295,297,298,297,295,297,296,299,297,293,294,296,294,298,295,297,296,294,293,293,292,291,294,295,295,294,295,293,293,294,291,293,294,294,293,295,294,294,294,294,296,296,296,298,297,296,295,294,294,293,292,293,294,293,291,291,292,292,294,294,294,294,293,294,293,294,294,294,292,292,290,291,291,292,293,293,292,292,292,292,292,292,290,291,292,293,293,292,293,292,292,291,288,290,289,290,292,291,291,290,290,288,290,290,290,293,290,290,292,294,295,295,295,291,286,284,283,283,282,282,282,281,283,282,282,278,277,278,276,275,274,275,276,274,272,273,272,275
Biogas,174,175,175,175,175,175,175,175,175,175,175,175,175,175,174,174,175,175,175,175,175,175,175,175,175,174,174,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,174,174,174,174,174,174,175,174,174,174,174,174,175,175,175,175,175,175,175,175,175,174,174,174,174,174,174,174,172,172,172,172,172,172,168,168,169,170,169,167,166,166,166,166,166,166,166,166,166,166,166,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,166,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,166,165,165,165,165,165,165,166,166,166,165,165,165,166,166,165,165,165,166,166,163,163,163,163,163,163,163,163,164,163,163,163,164,166,166,166,166,165,164,164,165,167,167,166,167,167,166,167,166,166,166,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,168,168,168,168,168,168,168,169,169,169,169,171,171,171,172,172,172,172,172,172,172,172,172,172,173,173,173,173,173,173,173,172,172,172,172,173,173,173,172,173,172,173,172,172,172,172,172,172,172,172,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,170,170,171,171,171,171,170,170,170,170,170,170,170,170,170,170,170,170,171,171,171,171,171
Small hydro,326,326,329,330,329,331,331,331,331,332,333,333,333,333,334,332,332,333,333,334,334,334,334,333,334,334,334,335,334,332,333,332,332,331,331,332,332,332,333,333,333,332,333,332,333,333,332,333,333,333,333,333,330,330,331,331,332,332,332,331,330,329,328,326,326,326,327,328,328,328,327,328,328,328,333,330,331,332,332,329,329,330,330,329,329,332,330,327,326,328,328,327,327,327,326,327,326,317,314,313,314,314,314,314,314,314,314,314,314,312,312,309,303,299,299,302,309,312,312,312,312,310,310,309,309,309,310,311,312,311,311,310,311,311,312,312,311,309,308,310,309,310,309,311,311,312,313,313,313,313,313,310,310,310,309,309,309,309,309,310,310,311,312,311,311,311,312,312,312,314,313,313,313,314,314,315,315,315,314,312,311,312,319,324,324,325,326,327,326,326,325,324,325,326,327,327,327,327,327,327,326,323,324,324,324,325,328,330,329,332,333,333,332,332,331,329,329,329,330,330,330,329,329,330,330,333,334,334,334,333,334,331,331,330,330,330,329,331,331,333,333,333,336,336,337,336,336,335,336,338,337,338,337,334,332,331,332,331,330,330,330,330,330,329,328,329,329,329,329,330,328,328,328,328,329,327,327,326,325,326,326,325,325,325,324,325,325,326
