Supply 02/14/2024,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,4276,4213,4215,4237,4228,4227,4217,4211,4217,4249,4278,4280,4283,4311,4337,4333,4301,4255,4213,4177,4127,4074,4025,4008,3982,3949,3921,3918,3922,3939,3912,3872,3823,3775,3747,3724,3731,3738,3732,3751,3731,3702,3702,3726,3748,3779,3796,3799,3803,3869,3925,3907,3861,3822,3826,3798,3786,3777,3798,3814,3813,3831,3820,3794,3753,3728,3725,3715,3654,3590,3563,3558,3573,3603,3596,3578,3578,3563,3558,3564,3638,3765,3973,4256,4596,5006,5540,6106,6720,7403,8015,8736,9375,10056,10787,11366,11951,12612,13336,13958,14423,14811,14996,15258,15529,15517,15781,16224,16497,16766,17001,16990,16904,16800,16935,16810,16726,16443,16311,16455,16422,16468,16593,16772,16934,16826,16574,16221,16115,16073,16245,16328,16259,16372,16274,16324,16420,16457,16432,16132,15812,15764,15956,15975,15840,15886,15755,15600,15784,15906,15979,15914,15751,15694,15551,15839,16125,16171,16368,16549,16356,16264,16191,16220,16271,16298,16151,16110,15970,16052,16404,16592,16600,16552,16414,16394,16474,16789,17091,16835,16562,16177,15371,14992,14974,15552,15497,15385,15284,14737,14367,13865,13133,12450,11782,11163,10255,9597,9067,8513,7843,7291,6768,6156,5638,5261,5033,4862,4645,4478,4338,4327,4359,4364,4351,4304,4249,4154,4106,4090,4078,4099,4061,4025,3919,3851,3881,3926,3913,3882,3843,3830,3825,3820,3846,3882,3882,3875,3820,3777,3738,3721,3716,3723,3712,3685,3642,3646,3682,3716,3713,3726,3745,3759,3815,3907,4009,4085,4157,4174,4165,4138,4133,4110,4075,4060,4068,4151,4243,4308,4356,4392,4445,4535,4648,4747,4820,4843,4820,4843,4848,4890,4906,4924,4946,4927,4882,4839,
Natural gas,9763,9917,9964,9992,9996,9965,9935,9849,9780,9734,9715,9717,9630,9499,9560,9538,9542,9542,9535,9477,9454,9468,9413,9383,9384,9358,9343,9343,9351,9369,9396,9408,9474,9533,9535,9563,9573,9653,9710,9699,9725,9764,9815,9831,9876,9894,9919,9902,9859,9777,9716,9744,9851,9898,9934,10025,10092,10136,10153,10178,10223,10220,10121,10076,10143,10227,10276,10331,10379,10376,10377,10372,10384,10397,10419,10404,10373,10380,10387,10393,10380,10353,10331,10341,10334,10297,10293,10166,9987,9840,9677,9387,9047,8697,8339,7974,7709,7295,7012,6614,6123,5926,5717,5643,5576,5465,5496,5658,5929,5975,5872,5900,5923,5890,5867,5894,5721,5595,5539,5406,5420,5429,5475,5504,5480,5464,5428,5421,5379,5296,5354,5398,5405,5400,5398,5482,5610,5765,5816,5812,5838,5849,5868,5880,5880,5866,5837,5843,5843,5845,5828,5819,5803,5789,5630,5473,5411,5353,5353,5344,5337,5351,5375,5395,5413,5449,5472,5474,5479,5496,5487,5442,5449,5467,5518,5553,5588,5680,5770,5937,6140,6108,6051,6008,6071,6357,6520,6637,6786,6935,7067,7284,7488,7366,7097,7065,7422,7940,8329,8627,8846,8941,9024,9083,9131,9182,9240,9255,9322,9380,9405,9409,9403,9410,9420,9417,9419,9456,9486,9475,9453,9481,9507,9543,9661,9724,9780,9822,9840,9872,9878,9889,9835,9853,9870,9882,9886,9893,9894,9900,9917,9970,10005,9960,10028,10063,10056,9968,9943,9938,9937,9933,9935,9953,9956,9965,9978,9987,9999,9994,9993,9983,9949,9900,9879,9866,9846,9845,9829,9826,9815,9800,9783,9763,9714,9693,9646,9626,9631,9572,9540,9519,9490,9405,9304,9197,9075,8989
Large hydro,2376,2025,1770,1738,1736,1724,1704,1727,1725,1686,1714,1702,1579,1398,1289,1294,1276,1268,1270,1269,1268,1268,1268,1257,1254,1318,1391,1423,1426,1426,1425,1447,1441,1443,1441,1448,1442,1461,1481,1480,1492,1494,1521,1537,1562,1596,1579,1580,1601,1697,1720,1764,1797,1845,1878,1922,1978,2118,2083,2078,2001,2160,2329,2377,2407,2454,2450,2483,2557,2570,2598,2614,2646,2702,2794,2830,2856,2887,2974,2977,2989,3044,2985,3002,2826,2566,2468,2440,2383,2315,2280,2197,2129,2119,2100,2069,2019,1795,1638,1550,1514,1511,1500,1471,1446,1444,1467,1453,1365,1179,923,950,990,904,843,825,850,869,878,877,840,694,647,651,664,638,637,650,644,645,645,640,592,508,488,497,479,458,462,475,472,464,456,442,399,392,375,367,357,349,356,359,362,358,361,348,350,350,371,363,353,356,353,348,358,354,356,342,337,350,359,366,374,386,393,383,387,381,369,371,418,669,783,777,776,774,782,774,782,785,784,851,1092,1682,1932,2056,2152,2184,2217,2298,2392,2433,2448,2476,2567,2813,3033,3039,3071,3060,3076,2957,2803,2817,2908,2939,3015,3383,3570,3562,3563,3582,3609,3633,3643,3651,3650,3602,3566,3517,3556,3513,3461,3463,3447,3465,3480,3504,3532,3531,3533,3496,3510,3475,3486,3485,3491,3497,3490,3486,3505,3493,3488,3415,3317,3312,3371,3572,3702,3743,3734,3556,3516,3449,3425,3418,3510,3509,3482,3424,3382,3287,3239,3123,2874,2752,2719,2792,2758,2776,2804,2795,2789,2766,2764,2836,2855,2848
Imports,4372,4670,4759,4787,4932,4929,5011,4975,4972,4966,5031,5088,5097,4989,5027,5027,4968,4953,4914,4876,4846,4822,4795,4752,4767,4712,4686,4625,4588,4544,4502,4432,4296,4266,4266,4246,4280,4140,4006,3863,3806,3758,3670,3587,3522,3506,3532,3488,3518,3668,3754,3643,3483,3376,3299,3154,3014,2802,2593,2639,2995,3177,3288,3209,2894,2740,2541,2208,1998,2047,2084,2067,1953,2159,2421,2407,2468,2256,2156,2222,2336,2429,2560,2640,2877,3174,3383,3571,3523,3449,3371,3276,3114,2802,2544,2242,1885,1634,1566,1685,1749,1327,1079,769,597,521,264,99,-62,-244,-627,-988,-1088,-1260,-1355,-1260,-1001,-784,-718,-983,-910,-693,-665,-745,-837,-762,-832,-755,-764,-704,-735,-693,-779,-885,-914,-1090,-1014,-875,-775,-590,-568,-757,-902,-714,-642,-1179,-1285,-1128,-1315,-1501,-1526,-1480,-1292,-1237,-1217,-1529,-1485,-1530,-1595,-1602,-1572,-1682,-1532,-1567,-1592,-1707,-1801,-1877,-1782,-1536,-1293,-1057,-1122,-1363,-1577,-1700,-1883,-1734,-1954,-1894,-1774,-1654,-1520,-1568,-1593,-1589,-1356,-1107,-1113,-1147,-1185,-703,-174,518,1177,1728,2102,2179,2436,2765,2984,2911,3022,3138,3176,3648,3715,3789,3717,3682,3570,3462,3566,3606,3280,3294,3501,3887,4145,4205,4401,4499,4555,4693,4661,4587,4538,4537,4538,4254,4051,3963,4034,4143,4115,4052,4031,4138,4090,4092,3955,3915,3838,3862,3867,3787,3754,3796,3785,3830,3838,3771,3768,3554,3708,3812,3905,3869,3884,4066,4023,4098,4136,4222,4259,4201,4184,4240,4171,4122,4039,4019,3974,3899,3843,3784,3670,3432,3341,3278,3186,3172,3239,3469,3767,3787,3922,4068
Batteries,-570,-355,-180,-328,-466,-480,-561,-541,-538,-558,-573,-507,-494,-465,-536,-592,-577,-560,-520,-486,-458,-433,-353,-335,-366,-333,-330,-360,-361,-353,-346,-298,-240,-234,-243,-265,-312,-284,-257,-194,-319,-321,-339,-344,-369,-420,-466,-387,-374,-474,-486,-379,-262,-212,-134,-26,128,210,469,491,273,124,107,297,691,822,1082,1496,1785,1892,2014,2130,2392,2372,2450,2681,2794,2970,3240,3335,2994,3223,3113,2806,2465,2261,1761,1239,1053,626,261,-24,-180,-378,-705,-699,-747,-435,-637,-937,-1087,-1046,-968,-951,-1099,-1029,-1105,-1661,-2062,-2195,-1741,-1590,-1601,-1387,-1380,-1515,-1703,-1785,-1864,-1682,-1790,-2138,-2377,-2612,-2801,-2846,-2637,-2514,-2422,-2485,-2743,-2958,-2837,-2801,-2651,-2656,-3018,-3281,-3519,-3593,-3396,-3210,-3257,-3509,-3389,-2937,-2714,-2815,-2892,-2881,-2873,-2906,-2818,-2715,-2431,-2259,-2551,-2536,-2567,-2707,-2566,-2527,-2433,-2347,-2262,-2075,-1772,-1603,-1428,-1817,-2185,-2371,-2239,-1908,-1652,-1545,-1438,-1582,-1586,-1460,-1407,-1334,-730,-173,35,-359,-429,-588,-540,1,364,331,170,-314,-80,114,368,596,647,671,954,1584,2038,2621,3149,2786,2843,3045,3416,3732,4077,4618,4881,5045,5499,5625,5499,4787,4314,4279,4144,4008,3905,3678,3602,3639,3537,3497,3455,3712,3792,3832,3754,3590,3554,3529,3502,3360,3337,3287,3314,3262,3214,3138,3037,3038,3018,3001,2945,2802,2658,2476,2320,2580,2419,2170,1835,1494,1192,851,786,816,821,798,733,701,537,364,279,212,159,82,34,39,98,61,45,179,228,241,226,204,117,-96,-343,-417,-489,-539
Nuclear,2263,2262,2264,2263,2263,2264,2263,2263,2263,2263,2263,2263,2263,2263,2263,2263,2262,2263,2264,2263,2263,2264,2263,2263,2263,2262,2263,2263,2263,2263,2263,2263,2262,2263,2263,2263,2263,2263,2263,2263,2263,2263,2264,2263,2263,2263,2263,2263,2262,2261,2261,2261,2261,2261,2261,2261,2261,2261,2262,2261,2262,2262,2261,2260,2260,2260,2261,2261,2262,2261,2262,2261,2260,2260,2261,2259,2261,2260,2259,2260,2260,2261,2262,2260,2260,2261,2260,2260,2260,2260,2261,2261,2261,2261,2261,2261,2261,2262,2262,2261,2261,2261,2261,2262,2261,2261,2261,2261,2261,2262,2261,2262,2260,2261,2260,2260,2260,2259,2259,2260,2260,2260,2259,2260,2260,2261,2261,2261,2261,2261,2261,2260,2260,2260,2258,2260,2259,2261,2260,2261,2263,2261,2261,2260,2261,2261,2262,2261,2261,2261,2262,2261,2262,2262,2261,2261,2262,2262,2261,2261,2261,2262,2261,2261,2262,2261,2262,2261,2261,2261,2262,2262,2262,2262,2261,2261,2261,2261,2262,2261,2262,2261,2261,2261,2261,2260,2260,2260,2260,2260,2260,2260,2262,2260,2260,2260,2259,2260,2260,2260,2262,2259,2261,2259,2260,2259,2259,2259,2260,2259,2260,2259,2261,2259,2260,2260,2261,2260,2260,2262,2260,2261,2261,2260,2260,2260,2260,2260,2260,2260,2261,2261,2260,2260,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2262,2261,2262,2261,2262,2261,2262,2261,2261,2261,2262,2261,2261,2261,2260,2260,2260,2260,2260,2260,2260,2258,2260,2260,2260,2261,2262,2262,2263,2264,2264,2264,2264,2264,2264,2264,2264,2265,2265,2265,2265,2265,2265,2265
Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
